url,external category,iprism comment,fortigate category,fortigate subcategory
*://*.dyn.com,ld,,,
*://*.dyndns.org,ld,,,
*://*.ha.cnc,ld,,,
*://*.babidou.com,ld,,,
*://*.xuping.com,ld,,,
http://masters-f.akamaihd.net,ld,,,
http://masters-f.akamaihd.net/control,ld,,,
http://www.masters.com/en_US/xml/man/alc/alcChannelConfig_live.xml,ld,,,
http://www.masters.com/en_US/xml/gen/alc/liveVideoChannels.json,ld,,,
http://www.masters.com/en_US/xml/gen/alc/liveVideo.js,ld,,,
http://*.nflxext.com/FilePackageGetter/sharedSystem/pkg-pages/player,ld,,,
https://*.nccp.netflix.com,ld,,,
http://*.nflximg.com.edgesuite.net,ld,,,
http://netflix-928.vo.llnwd.net,ld,,,
http://moviesdownload.agilityhoster.com,"malw,othm",,,
http://www.cemtelekom.net,"malw,othm",,,
http://tony.web.id,"malw,othm",,,
*://*.easysimulations.com,la,,,
*://75.98.48.141,la,,,
http://*.iheart.com,l5,,,
http://*.hotcleaner.com,ld,,,
https://*.fbcdn.net,l2,,,
http://*.fitindex.com,la,,,
http://*.mgid.com/,ld,,,
http://*.dumage.com,ld,,,
http://*.jsoftj.com,ld,,,
http://weblogwally.spaces.live.com,la,,,
http://*.babyberta.com,"malw,othm",,,
http://www.google.com/chrome,la,,,
http://200.5.104.11,ld,,,
http://*.iegallery.com,la,,,
http://*.jmxded131.net,ld,,,
http://www.cornholestencils.com/,ld,,,
http://www.extremeclipart.com/,ld,,,
http://archiveforfiles.com,"malw,othm",,,
http://194.11.16.141,ld,,,
http://*.zedo.com,ld,,,
http://*.h-desk.com,ld,,,
http://*.fileresearchcenter.com,ld,,,
http://*.driverslab.com,ld,,,
http://*.dll-files.com,ld,,,
http://*.dll-download.com,ld,,,
http://*.dll4free.com,ld,,,
http://2010usga-f.akamaihd.net,ld,,,
http://www.usopen.com/multimedia/usga.smil,ld,,,
http://www.usopen.com/en_US/xml/gen/alc/video_console_config_us.xml,ld,,,
http://www.usopen.com/en_US/xml/gen/scores/flashscore.xml,ld,,,
http://*.watchmojo.com,ld,,,
http://*.wimp.com,ld,,,
http://*.adobe-instant-upgrade.com,"malw,othm",,,
http://*.adobe-instant-download.com,"malw,othm",,,
http://picasaweb.google.com/data/feed/,ld,,,
http://*.ggpht.com,ld,,,
http://*.defender-twjjb.in,"malw,othm",,,
http://www.pgatour.com/live-video,ld,,,
http://*.adobeacrobatdownload.com,ld,,,
http://*.2011-adobe-acrobat-download.com,"malw,othm",,,
http://badgurlzhotspot.blogspot.com,ld,,,
http://*.grooveshark.com,ld,,,
http://media.awmi.net/video/,ld,,,
http://*.awmi.net/downloads/tv/,ld,,,
http://*.awmi.net/vod/,ld,,,
http://*.lovedbdb.com,ld,,,
http://*.yurock.net,ld,,,
http://*.oddee.com,ld,,,
http://*.2leep.com,ld,,,
http://*.radaronline.com/rss,ld,,,
http://www.daysofourlives.com/multimedia,ld,,,
http://*.evernote.com/about/download,ld,,,
http://*.joycemeyer.org/MediaPlayers,ld,,,
https://*.ultrasurf.stub,ld,,,
*://*.conary.org,"malw,othm",,,
*://www.conary.org,"malw,othm",,,
http://*.smashitsusa.com/player,ld,,,
http://*.adobe-download1.net,"malw,othm",,,
http://www.mirror.co.uk/video/celebs/,ld,,,
http://www.mirror.co.uk/fun-games/,ld,,,
http://www.wnok.com/cc-common/videos_on_demand/,ld,,,
http://www.wnok.com/pages/viraltv.html,ld,,,
http://*.tressugar.com/,ld,,,
http://www.boomerangtv.co.uk/,ld,,,
http://www.popsugar.tv/,ld,,,
http://*.welcometotheglobalisnet.com,ld,,,
http://*.drawingboardcomic.com,ld,,,
http://*.cowbirdsinlove.com,ld,,,
http://*.lefthandedtoons.com,ld,,,
http://bigontheweb.msn.com/,ld,,,
http://*.toolbar.com,ld,,,
http://*.toolbar.fm,ld,,,
http://*.forumtoolbar.com,ld,,,
http://*.media-toolbar.com,ld,,,
http://*.communitytoolbars.com,ld,,,
http://*.ourtoolbar.fm,ld,,,
http://*.ourtoolbar.com,ld,,,
http://eqcomics.com/wallpapers/,ld,,,
http://media.mtvnservices.com,ld,,,
http://clk.tradedoubler.com,ld,,,
http://www.mtv.com/global/music/player,ld,,,
http://www.mtv.co.uk/videos,ld,,,
http://www.mtv.co.uk/music/playlists/,ld,,,
http://www.mtv.co.uk/games,ld,,,
http://garible.com,ld,,,
http://*.vimby.com/,ld,,,
http://uniondaileytimes.com/,ld,,,
https://*.facebook.com,l4,,,
http://*.facebook.com,l2,,,
http://www.archive.org/,ld,,,
http://www.blip.tv/,ld,,,
http://wbads.vo.llnwd.net/o25/u/telepixtv/ellen/us/video,ld,,,
http://socialstreamingplayer.crystalmedianetworks.com/assets/player,ld,,,
http://www.steveharvey.com//mp3,ld,,,
http://rss.scout.com,ld,,,
http://feeds.wonderwall.com,ld,,,
http://feeds.wired.com,ld,,,
http://silverlight.dlservice.microsoft.com,la,,,
http://www.spinner.com,ld,,,
http://www.bernieleadononline.com/multimedia/MP3,ld,,,
http://www.bernieleadononline.com/downloads,ld,,,
http://mysteryisland.net/monsterzipper,ld,,,
http://mysteryisland.net/music,ld,,,
http://*.winamp.com/,ld,,,
http://*.programmci.com,"malw,othm",,,
http://*.awmi.net/vod/live/gts/flv/*,ld,,,
http://downloads.awmi.net/teaching/,ld,,,
http://www.marktoon.co.uk,ld,,,
http://*.fotolia.com,ld,,,
http://96.9.168.198,"malw,othm",,,
http://expa83.co.cc,"malw,othm",,,
http://skin.issuu.com/,la,,,
http://api.issuu.com/,la,,,
http://static.issuu.com/,la,,,
http://image.issuu.com/,la,,,
http://issuu.com/scsafoffice/docs/,la,,,
http://www.microsoft.com/feeds/technet/en-us/how-to-videos/TechNetHowToVideos.opml,la,,,
http://images.search.yahoo.com,ld,,,
http://*blogspot.com,ld,,,
http://galleryofworld.blogspot.com,ld,,,
http://*.auto-day.com.ua,ld,,,
http://*.imagedoza.com,ld,,,
http://*.photobucket.com/,ld,,,
http://*.google.com/friendconnect/,sn/d,,,
http://playgames.rr.com,ld,,,
http://*.vbox7.com,ld,,,
http://*.diretube.com/,ld,,,
http://*.4videosharing.com/,ld,,,
http://*.vidoevo.com/,ld,,,
http://*.mydown.com,"malw,othm",,,
http://*.skycn.com,"malw,othm",,,
http://www.luckydownloads.com,ld,,,
http://www.gold-software.com/,ld,,,
http://software.informer.com/,ld,,,
http://www.recipester.org,ld,,,
http://www.americanshareware.com/,ld,,,
*://*.twitter.com,l3,,,
http://*.flvpremier.com,"malw,othm",,,
http://www.tmz.com/tmz-tv/,ld,,,
http://www.tmz.com/tmz-live/,ld,,,
http://www.tmz.com/videos/,ld,,,
http://www.centerpointesc.com/marriagematters/audio/,ld,,,
http://www.centerpointesc.com/series/media/satans_favorite_lies/audio/,ld,,,
http://www.centerpointesc.com/series/media/christianity_made_simple/audio/,ld,,,
http://www.centerpointesc.com/series/media/beyond_the_glory/audio/,ld,,,
http://centerpointesc.com/series/media/whats_going_on_here/audio/,ld,,,
http://www.centerpointesc.com/series/media/mystery_of_faith/audio/,ld,,,
http://www.centerpointesc.com/series/media/lessons_of_david/audio/,ld,,,
http://www.centerpointesc.com/series/media/you_think/audio/,ld,,,
http://www.centerpointesc.com/series/media/resurrection/audio/,ld,,,
http://www.centerpointesc.com/series/media/sightings/audio/,ld,,,
http://www.centerpointesc.com/series/media/rest/audio/,ld,,,
http://www.centerpointesc.com/series/media/taking_responsibility/audio,ld,,,
http://www.centerpointesc.com/series/media/lost/audio,ld,,,
http://www.centerpointesc.com/series/media/r_u_connected/audio,ld,,,
http://www.centerpointesc.com/series/media/who_am_i/audio/,ld,,,
http://www.centerpointesc.com/series/media/twisting_the_truth/audio,ld,,,
http://www.centerpointesc.com/series/media/here_today/audio/,ld,,,
http://www.centerpointesc.com/series/media/death_mayhem/audio,ld,,,
http://www.centerpointesc.com/series/media/flying_solo/audio/,ld,,,
http://www.centerpointesc.com/series/media/guardrails/audio,ld,,,
http://www.centerpointesc.com/series/media/dig_in/audio/,ld,,,
http://www.centerpointesc.com/series/media/birth_babyfood_bodybuilding/audio,ld,,,
http://www.centerpointesc.com/series/media/masquerade/audio,ld,,,
http://*.nikeallstar.com,ld,,,
http://www.google.com/support/calendar/,ld,,,
http://91.188.60.110,"malw,othm",,,
http://*.funglobal.net,"malw,othm",,,
http://*.going-wide.net,"malw,othm",,,
http://willhavebigdick.com,"prn,ld",,,
http://*.ghura.pl,"malw,othm",,,
http://streq.cn,"malw,othm",,,
http://portalkey.org,"spyw,othm",,,
http://f19dd4abb8b8bdf2.cn,"malw,othm",,,
http://*.wallpaper.com/,ld,,,
http://marvel.com/wallpaper/,ld,,,
http://bighugelabs.com/,ld,,,
http://*.fireworks.com/interactive/,ld,,,
http://www.macscreensavers.com/,ld,,,
http://www.glamsham.com/download,ld,,,
http://*.thescreensavers.com/,ld,,,
http://www.freestockfootage.com,ld,,,
http://www.feedbackvideo.com/,ld,,,
http://www.professionalanimations.com/,ld,,,
http://www.anistock.com/,ld,,,
http://www.wavebreakmedia.com/,ld,,,
http://*.blockbuster.com/download,ld,,,
*://*.videoblocks.com/,ld,,,
http://*.suiteimagery.com,ld,,,
http://*.topwebcomics.com,ld,,,
http://*.beartoons.com/,ld,,,
http://*.taversia.net/,ld,,,
http://*.webcomicz.com/,ld,,,
http://*.ateapple.com.ua,"malw,othm",,,
*://194.247.12.39,"malw,othm",,,
http://193.169.188.3,"malw,othm",,,
http://*.zaporizhzhe.ua,"malw,othm",,,
http://*.cz.cc,"malw,othm",,,
http://*.tvneto.com,ld,,,
http://*.websitealive.com/,ld,,,
http://*.livechatinc.com,ld,,,
http://*.englishclub.com,ld,,,
http://*.volusion.com,ld,,,
http://*.comm100.com,ld,,,
http://*.123flashchat.com/,ld,,,
http://www.usa.gov/rss/,ld,,,
http://*.boldchat.com/,ld,,,
http://*.dyndns.tv,"malw,othm",,,
http://*.dyndns-work.com,"malw,othm",,,
http://*.retailmenot.com/,ld,,,
*://*.dyndns.com,ld,,,
http://www.windowsmedia.com/radioui,ld,,,
http://video.nbcuni.com/player,ld,,,
http://www.ivillage.com/entertainment-games,ld,,,
